Data	M2
Recipe	AU1404
Site Name	
Points	1998
X-Resolution	0.500751
X-Coord	-2938.84
Y-Coord	34576.99
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
180	  -11957.1	  -2404.78	-0.0565319	-0.0565319	-0.0565319
181	  -12032.3	  -2479.95	  -24.3161	  -24.3161	  -24.3161
182	  -12079.5	  -2527.13	   -45.274	   -45.274	   -45.274
183	  -12077.5	  -2525.19	  -55.5816	  -55.5816	  -55.5816
184	  -12082.9	  -2530.56	  -62.0286	  -62.0286	  -62.0286
185	  -12102.5	  -2550.14	   -74.928	   -74.928	   -74.928
186	  -12156.2	  -2603.82	  -96.5759	  -96.5759	  -96.5759
187	  -12208.4	  -2656.05	  -120.165	  -120.165	  -120.165
188	  -12233.4	  -2681.03	  -137.024	  -137.024	  -137.024
189	    -12262	  -2709.64	   -142.13	   -142.13	   -142.13
190	  -12260.3	  -2707.94	  -135.243	  -135.243	  -135.243
191	  -12246.9	  -2694.59	  -122.106	  -122.106	  -122.106
192	  -12232.5	  -2680.19	  -113.316	  -113.316	  -113.316
193	  -12249.6	  -2697.26	  -116.696	  -116.696	  -116.696
194	  -12308.2	  -2755.86	  -128.296	  -128.296	  -128.296
195	  -12345.1	  -2792.71	  -133.249	  -133.249	  -133.249
196	  -12347.3	  -2794.97	  -118.034	  -118.034	  -118.034
197	  -12301.7	  -2749.37	  -81.9563	  -81.9563	  -81.9563
198	  -12242.3	     -2690	  -37.1262	  -37.1262	  -37.1262
199	  -12217.3	  -2664.94	   2.71311	   2.71311	   2.71311
200	    -12213	  -2660.69	   32.7305	   32.7305	   32.7305
201	    -12208	  -2655.69	   56.4372	   56.4372	   56.4372
202	  -12199.8	  -2647.48	   78.1795	   78.1795	   78.1795
203	  -12189.3	  -2636.98	   97.5949	   97.5949	   97.5949
204	  -12174.1	  -2621.73	   108.112	   108.112	   108.112
205	  -12182.2	  -2629.81	    100.33	    100.33	    100.33
206	  -12240.8	  -2688.44	   70.2599	   70.2599	   70.2599
207	  -12322.2	  -2769.84	   24.3411	   24.3411	   24.3411
208	    -12392	   -2839.7	  -25.5853	  -25.5853	  -25.5853
209	  -12451.6	  -2899.26	  -70.6889	  -70.6889	  -70.6889
210	  -12500.6	  -2948.22	  -107.783	  -107.783	  -107.783
211	  -12540.2	   -2987.9	  -136.596	  -136.596	  -136.596
212	    -12582	  -3029.63	  -156.306	  -156.306	  -156.306
213	  -12602.8	  -3050.43	  -164.293	  -164.293	  -164.293
214	  -12616.7	   -3064.4	  -157.069	  -157.069	  -157.069
215	    -12605	  -3052.64	  -132.013	  -132.013	  -132.013
216	  -12571.1	  -3018.74	  -90.0612	  -90.0612	  -90.0612
217	  -12516.3	  -2963.98	  -38.1736	  -38.1736	  -38.1736
218	  -12459.6	  -2907.25	   11.6645	   11.6645	   11.6645
219	  -12438.8	  -2886.44	   47.5441	   47.5441	   47.5441
220	  -12426.6	  -2874.28	   62.7585	   62.7585	   62.7585
221	  -12464.3	  -2911.95	   58.1464	   58.1464	   58.1464
222	  -12508.4	  -2956.07	   40.7834	   40.7834	   40.7834
223	  -12538.6	  -2986.22	   17.9036	   17.9036	   17.9036
224	  -12581.3	  -3028.96	  -8.14914	  -8.14914	  -8.14914
225	  -12611.5	   -3059.2	  -38.4816	  -38.4816	  -38.4816
226	  -12676.9	  -3124.58	  -72.3903	  -72.3903	  -72.3903
227	  -12731.8	   -3179.5	  -104.547	  -104.547	  -104.547
228	  -12767.8	  -3215.41	  -128.251	  -128.251	  -128.251
229	  -12798.9	  -3246.52	  -139.481	  -139.481	  -139.481
230	  -12801.2	  -3248.89	  -137.358	  -137.358	  -137.358
231	  -12804.4	  -3252.04	  -122.627	  -122.627	  -122.627
232	  -12789.1	  -3236.81	  -96.1854	  -96.1854	  -96.1854
233	  -12765.3	  -3213.01	  -59.8704	  -59.8704	  -59.8704
234	  -12724.6	  -3172.28	  -19.1195	  -19.1195	  -19.1195
235	  -12682.5	  -3130.15	   16.9261	   16.9261	   16.9261
